,Tree_ID,Year,Dist_west,Dist_south,Sp,Sp_code,En.Un,Block_new,Lat,Long,Class,Status2,DBH.y,DBH_mean
7227,1647,1984,15.7,765.2,F,1,Enclosed,38,50.8538662,-1.531836288,80,1,NA,75.1
7228,1647,1988,15.7,765.2,F,1,Enclosed,38,50.8538662,-1.531836288,80,1,NA,75
7229,1647,1996,15.7,765.2,F,1,Enclosed,38,50.8538662,-1.531836288,80,1,NA,75.1
7230,1647,2014,15.7,765.2,F,NA,Enclosed,38,50.86061171,-1.538581795,80,0,NA,73.21127382
7234,1648,1959,16.5,775.5,F,1,Enclosed,38,50.8537735,-1.531843488,10,0,7,7
7249,164U,1959,17,25,I,NA,Unenclosed,52,50.85220797,-1.531055,10,1,2,2
7250,164U,1964,17,25,I,NA,Unenclosed,52,50.85220797,-1.531055,10,1,NA,2.5
7255,165,1959,3.8,100.7,I,3,Enclosed,5,50.85984671,-1.531729188,10,1,0.5,0.5
7256,165,1964,3.8,100.7,I,3,Enclosed,5,50.85984671,-1.531729188,10,1,NA,0.8
7273,1651,1959,19.1,772.8,F,1,Enclosed,38,50.8537978,-1.531866888,10,1,4,4
7282,1652,1959,19.5,774.7,F,1,Enclosed,38,50.8537807,-1.531870488,10,1,3,3
7291,1653,1959,19.5,779.5,F,1,Enclosed,38,50.8537375,-1.531870488,10,1,5,5
7309,1655,1959,1.2,792.4,Q,2,Enclosed,39,50.8536214,-1.531705788,30,1,25,25
7310,1655,1964,1.2,792.4,Q,2,Enclosed,39,50.8536214,-1.531705788,30,1,NA,25
7311,1655,1984,1.2,792.4,Q,2,Enclosed,39,50.8536214,-1.531705788,30,1,NA,23.9
7312,1655,1988,1.2,792.4,Q,2,Enclosed,39,50.8536214,-1.531705788,30,1,NA,23.9
7313,1655,1996,1.2,792.4,Q,2,Enclosed,39,50.8536214,-1.531705788,30,1,NA,24.5
7314,1655,2014,1.2,792.4,Q,NA,Enclosed,39,50.86074221,-1.538826595,30,0,NA,24.35070629
7327,1657,1959,1.5,792.8,F,1,Enclosed,39,50.8536178,-1.531708488,40,1,33,33
7328,1657,1964,1.5,792.8,F,1,Enclosed,39,50.8536178,-1.531708488,40,1,NA,35
7329,1657,1984,1.5,792.8,F,1,Enclosed,39,50.8536178,-1.531708488,40,0,NA,35
7330,1657,1988,1.5,792.8,F,1,Enclosed,39,50.8536178,-1.531708488,40,0,NA,35
7331,1657,1996,1.5,792.8,F,1,Enclosed,39,50.8536178,-1.531708488,40,0,NA,35
7332,1657,2014,1.5,792.8,F,NA,Enclosed,39,50.86073951,-1.538830195,30,0,NA,23.55493158
7335,1658,1959,1.6,787.5,F,1,Enclosed,39,50.8536655,-1.531709388,20,0,13,13
7337,1658,1964,1.6,787.5,F,1,Enclosed,39,50.8536655,-1.531709388,20,0,NA,16
7351,165U,1959,17,25,I,NA,Unenclosed,52,50.85220797,-1.531055,10,1,1,1
7352,165U,1964,17,25,I,NA,Unenclosed,52,50.85220797,-1.531055,10,1,NA,1.5
7358,166,1964,3.9,101.5,I,3,Enclosed,5,50.85983951,-1.531730088,10,1,NA,0.8
7402,1664,1959,4.9,782.5,F,1,Enclosed,39,50.8537105,-1.531739088,10,1,5.5,5.5
7403,1664,1964,4.9,782.5,F,1,Enclosed,39,50.8537105,-1.531739088,10,1,NA,7
7404,1664,1984,4.9,782.5,F,1,Enclosed,39,50.8537105,-1.531739088,20,1,NA,10.2
7405,1664,1988,4.9,782.5,F,1,Enclosed,39,50.8537105,-1.531739088,20,1,NA,10.2
7406,1664,1996,4.9,782.5,F,1,Enclosed,39,50.8537105,-1.531739088,20,1,NA,12.4
7407,1664,2014,4.9,782.5,F,NA,Enclosed,39,50.86070891,-1.538737495,20,1,NA,15.91549431
7411,1665,1959,4.9,782.9,F,1,Enclosed,39,50.8537069,-1.531739088,10,1,4,4
7420,1666,1959,5.2,787.4,F,1,Enclosed,39,50.8536664,-1.531741788,10,1,1,1
7421,1666,1964,5.2,787.4,F,1,Enclosed,39,50.8536664,-1.531741788,10,0,NA,5
7429,1667,1959,5.7,791.9,F,1,Enclosed,39,50.8536259,-1.531746288,50,1,47.75,47.75
7430,1667,1964,5.7,791.9,F,1,Enclosed,39,50.8536259,-1.531746288,60,1,NA,50
7431,1667,1984,5.7,791.9,F,1,Enclosed,39,50.8536259,-1.531746288,60,1,NA,57.3
7432,1667,1988,5.7,791.9,F,1,Enclosed,39,50.8536259,-1.531746288,60,1,NA,57.3
7433,1667,1996,5.7,791.9,F,1,Enclosed,39,50.8536259,-1.531746288,60,1,NA,57.3
7434,1667,2014,5.7,791.9,F,NA,Enclosed,39,50.86070171,-1.538822095,70,1,NA,68.11831564
7438,1668,1959,5.7,792.1,F,1,Enclosed,39,50.8536241,-1.531746288,40,1,36.75,36.75
7439,1668,1964,5.7,792.1,F,1,Enclosed,39,50.8536241,-1.531746288,40,1,NA,39
7440,1668,1984,5.7,792.1,F,1,Enclosed,39,50.8536241,-1.531746288,50,1,NA,46.5
7441,1668,1988,5.7,792.1,F,1,Enclosed,39,50.8536241,-1.531746288,50,0,NA,47
7449,1669,1984,6,793.8,I,3,Enclosed,39,50.8536088,-1.531748988,10,NA,NA,2
7450,1669,1988,6,793.8,I,3,Enclosed,39,50.8536088,-1.531748988,10,NA,NA,2
7451,1669,1996,6,793.8,I,3,Enclosed,39,50.8536088,-1.531748988,10,NA,NA,1.9
7453,166U,1959,17,25,I,NA,Unenclosed,52,50.85220797,-1.531055,10,1,1,1
7454,166U,1964,17,25,I,NA,Unenclosed,52,50.85220797,-1.531055,10,1,NA,1.5
7459,167,1959,4.4,100.6,I,3,Enclosed,5,50.85984761,-1.531734588,10,1,0.2,0.2
7460,167,1964,4.4,100.6,I,3,Enclosed,5,50.85984761,-1.531734588,10,1,NA,0.8
7467,1670,1959,6,797.1,Q,2,Enclosed,39,50.8535791,-1.531748988,40,1,30.5,30.5
7469,1670,1964,6,797.1,Q,2,Enclosed,39,50.8535791,-1.531748988,40,1,NA,35
7470,1670,1984,6,797.1,Q,2,Enclosed,39,50.8535791,-1.531748988,40,1,NA,35.7
7471,1670,1988,6,797.1,Q,2,Enclosed,39,50.8535791,-1.531748988,40,1,NA,36.4
7472,1670,1996,6,797.1,Q,2,Enclosed,39,50.8535791,-1.531748988,40,1,NA,38.2
7473,1670,2014,6,797.1,Q,NA,Enclosed,39,50.86069901,-1.538868895,50,1,NA,41.3802852
7489,1672,1988,6.1,796.5,I,3,Enclosed,39,50.8535845,-1.531749888,10,1,NA,3
7490,1672,1996,6.1,796.5,I,3,Enclosed,39,50.8535845,-1.531749888,10,1,NA,5.1
7491,1672,2014,6.1,796.5,I,NA,Enclosed,39,50.86069811,-1.538863495,10,1,NA,7.639437268
7498,1673,1988,6.3,791.3,I,3,Enclosed,39,50.8536313,-1.531751688,10,NA,NA,1
7499,1673,1996,6.3,791.3,I,3,Enclosed,39,50.8536313,-1.531751688,10,NA,NA,1.6
7503,1674,1959,9.6,782.9,F,1,Enclosed,39,50.8537069,-1.531781388,10,1,8.75,8.75
7505,1674,1964,9.6,782.9,F,1,Enclosed,39,50.8537069,-1.531781388,20,1,NA,10
7506,1674,1984,9.6,782.9,F,1,Enclosed,39,50.8537069,-1.531781388,20,1,NA,13.4
7507,1674,1988,9.6,782.9,F,1,Enclosed,39,50.8537069,-1.531781388,20,1,NA,14.5
7508,1674,1996,9.6,782.9,F,1,Enclosed,39,50.8537069,-1.531781388,20,1,NA,17.2
7509,1674,2014,9.6,782.9,F,NA,Enclosed,39,50.86066661,-1.538741095,30,1,NA,20.6901426
7512,1675,1959,10.7,797.5,F,1,Enclosed,39,50.8535755,-1.531791288,20,1,10,10
7514,1675,1964,10.7,797.5,F,1,Enclosed,39,50.8535755,-1.531791288,20,1,NA,13
7515,1675,1984,10.7,797.5,F,1,Enclosed,39,50.8535755,-1.531791288,20,1,NA,18.5
7516,1675,1988,10.7,797.5,F,1,Enclosed,39,50.8535755,-1.531791288,20,NA,NA,18.8
7517,1675,1996,10.7,797.5,F,1,Enclosed,39,50.8535755,-1.531791288,30,NA,NA,22.3
7518,1675,2014,10.7,797.5,F,NA,Enclosed,39,50.86065671,-1.538872495,30,NA,NA,24.98732607
7521,1676,1959,11,780.7,Q,2,Enclosed,39,50.8537267,-1.531793988,50,1,41,41
7523,1676,1964,11,780.7,Q,2,Enclosed,39,50.8537267,-1.531793988,50,1,NA,42
7524,1676,1984,11,780.7,Q,2,Enclosed,39,50.8537267,-1.531793988,50,1,NA,45.5
7525,1676,1988,11,780.7,Q,2,Enclosed,39,50.8537267,-1.531793988,50,1,NA,45.6
