Block,Year,A_BA,B_BA,Cr_BA,F_BA,Fr_BA,I_BA,PM_BA,Q_BA,Sc_BA,T_BA,Sor_BA,AM,BM,CrM,FM,FrM,IM,PMM,Q.y,Sc.y,T.y,Sorensen.y,SDM,BAM,BAFM,BAQM,SPRM,LightM,MoistM,NitM,Northing,Easting
19,2014,0,0,0,33.1260151416,0,3.2539217385,0,5.4789099091,0,0,0.7871894276,0,0,0,8,0,6,0,2,0,0,0.7272727273,16,41.8588467891,33.1260151416,5.4789099091,3,1.6790316813,2,1.8691098697,106550,433024
20,1964,0,0,0,13.5810068667,0,1.8226146129,0,15.5528471307,0,0,1,0,0,0,7,0,11,0,1,0,0,1,19,30.9564686103,13.5810068667,15.5528471307,3,3.127394393,2,1.4975897501,106531,433028
20,1984,0,0,0,18.6804204271,0,0.2042820623,0,14.9301049269,0,0,0.8866706237,0,0,0,7,0,9,0,1,0,0,0.9444444444,17,33.8148074163,18.6804204271,14.9301049269,3,2.778185015,2,1.558474347,106531,433028
20,1988,0,0,0,20.0357624027,0,0.2290221044,0,15.3091577155,0,0,0.8753647038,0,0,0,7,0,6,0,1,0,0,0.8484848485,14,35.5739422226,20.0357624027,15.3091577155,3,2.7342659041,2,1.5696524827,106531,433028
20,1996,0,0,0,23.7178660723,0,0,0,15.8337055139,0,0,0.8263980651,0,0,0,7,0,1,0,1,0,0,0.6428571429,9,39.5515715862,23.7178660723,15.8337055139,3,2.6013225143,2,1.5996693714,106531,433028
20,2014,0,0,0,29.3355360487,0,0.2507187287,0,16.2159481061,0,0,0.7656352606,0,0,0,7,0,1,0,1,0,0,0.6428571429,9,45.8022028835,29.3355360487,16.2159481061,3,2.4271197839,2,1.6459570264,106531,433028
21,1964,0,0,0,14.5146489334,0,1.8245781083,0,56.5565217463,0,0,1,0,0,0,23,0,9,0,3,0,0,1,35,72.895748788,14.5146489334,56.5565217463,3,4.1534794144,2,1.2241451294,106506,433029
21,1984,0,0,0,21.0001331726,0,2.2486342117,0,52.2436255417,0,0,0.9243710689,0,0,0,18,0,11,0,3,0,0,0.8955223881,32,75.4923929259,21.0001331726,52.2436255417,3,3.8277255802,2,1.3079617228,106506,433029
21,1988,0,0,0,21.9700213645,0,2.1126817896,0,51.1163239228,0,0,0.9109781297,0,0,0,17,0,10,0,3,0,0,0.8923076923,30,75.199027077,21.9700213645,51.1163239228,3,3.7751776503,2,1.3202528555,106506,433029
21,1996,0,0,0,25.9894731803,0,2.3618100871,0,48.035992326,0,0,0.8624586705,0,0,0,17,0,8,0,2,0,0,0.8709677419,27,76.3872755933,25.9894731803,48.035992326,3,3.5772301466,2,1.3711519104,106506,433029
21,2014,0,0,0,32.382859704,0,1.3925556589,0,49.6984028407,0,0,0.8391096643,0,0,0,15,0,6,0,2,0,0,0.7931034483,23,83.4738182035,32.382859704,49.6984028407,3,3.4148736337,2,1.4046228637,106506,433029
22,1964,0,0,0,20.4694396335,0,2.9157906816,0,16.9822717881,0,0,1,0,0,0,15,0,15,0,1,0,0,1,31,40.3675021032,20.4694396335,16.9822717881,3,2.8272289508,2,1.5793083321,106486,433024
22,1984,0,0,0,26.5210110223,0,2.8741842139,0,0,0,0,0.6692293944,0,0,0,10,0,8,0,0,0,0,0.7346938776,18,29.3951952362,26.5210110223,0,2,1.1955546946,2,2,106486,433024
22,1988,0,0,0,27.4143621633,0,3.3781153105,0,0,0,0,0.6572579266,0,0,0,9,0,6,0,0,0,0,0.652173913,15,30.7924774738,27.4143621633,0,2,1.2194117257,2,2,106486,433024
22,1996,0,0,0,21.2058682215,0,1.874765051,0,0,0,0,0.7043297507,0,0,0,6,0,2,0,0,0,0,0.4102564103,8,23.0806332724,21.2058682215,0,2,1.1624535193,2,2,106486,433024
22,2014,0,0,0,26.0064160333,0,1.7578664286,0,0,0,0,0.6524797847,0,0,0,6,0,1,0,0,0,0,0.3684210526,7,27.7642824619,26.0064160333,0,2,1.1266279027,2,2,106486,433024
23,1964,0,0,0,21.7565108738,0,0.6675884389,0,12.5663706144,0,0,1,0,0,0,14,0,4,0,1,0,0,1,19,34.9904699271,21.7565108738,12.5663706144,3,2.4747060969,2,1.640863051,106473,433024
